 74.0333  -57.8167   	   4208   0 
 70.6833  -54.6167   	   4214   0 
 68.7081  -52.8517   	   4220   0 
 65.0167  -52.5500   	   4242   0 
 64.1667  -51.7500   	   4250   0 
 62.5781  -50.4061   	   4253   0 
 62.0167  -49.6667   	   4260   0 
 60.7636  -48.4544   	   4266   0 
 60.7156  -46.0433   	   4272   0 
 59.9911  -45.1461   	   4285    0
 76.7694  -18.6681   	   4320    0
 67.7833  -32.3000   	   4351    0
 64.7819  -40.3017   	   4373    0
