4427 79.9111 -24.0857 2.75 0.00299785961397
4433 76.4197 -68.1451 2.618 0.00299786170945
4434 76.3999 -68.2654 2.638 0.00299785961397
4445 72.8914 -53.5349 2.86 0.00299785751849
4446 72.8932 -54.295 2.518 0.00299782142974
4470 64.4971 -49.2675 2.907 0.00299789849669
4471 64.4819 -49.5317 2.936 0.00291974865831
4472 64.9458 -49.8836 2.689 0.00299796974286
4480 61.178 -46.8169 2.9 0.00299802119844
4481 61.0313 -46.8483 2.372 0.00299783749506
4490 65.6402 -38.8987 2.411 0.00299792829901
4491 65.6925 -37.826 2.446 0.00299913086928
4200 76.5667 -68.8000 3.0 0.003
4201 77.4667 -69.2167 3.0 0.003
4202 76.5333 -68.7500 3.0 0.003
4203 76.6333 -73.0000 3.0 0.003
4204 77.4858 -69.4033 3.0 0.003
4205 77.4833 -69.3833 3.0 0.003
4206 77.4950 -69.3697 3.0 0.003
4207 81.6833 -59.9333 3.0 0.003
4208 74.0333 -57.8167 3.0 0.003
4209 72.7833 -56.1667 3.0 0.003
4210 72.7833 -56.1667 3.0 0.003
4211 72.7833 -56.1333 3.0 0.003
4212 70.7425 -52.7122 3.0 0.003
4213 70.7333 -52.7000 3.0 0.003
4214 70.6833 -54.6167 3.0 0.003
4216 69.2167 -51.0500 3.0 0.003
4217 68.8167 -51.1667 7.5 0.003
4218 69.2397 -53.5314 7.5 0.003
4219 69.2500 -53.5333 3.0 0.003
4220 68.7081 -52.8517 3.0 0.003
4221 69.2403 -51.0661 3.0 0.003
4222 69.2494 -51.0711 3.0 0.003
4224 68.7167 -52.7833 3.0 0.003
4225 68.7322 -52.7883 3.0 0.003
4228 67.7842 -53.9650 3.0 0.003
4230 66.9167 -53.6667 3.0 0.003
4231 67.0167 -50.7167 3.0 0.003
4233 66.9539 -53.7231 3.0 0.003
4234 66.9514 -53.7294 3.0 0.003
4235 66.6333 -52.8667 3.0 0.003
4238 65.8167 -53.3167 3.0 0.003
4239 65.4200 -52.9397 3.0 0.003
4240 65.4000 -52.8667 3.0 0.003
4241 65.4167 -52.9333 3.0 0.003
4242 65.0167 -52.5500 3.0 0.003
4246 64.8000 -52.1500 3.0 0.003
4247 64.5333 -51.0500 3.0 0.003
4248 64.4375 -50.2697 6.0 0.003
4249 64.1825 -51.7269 7.5 0.003
4250 64.1667 -51.7500 3.0 0.003
4251 64.0333 -52.0833 3.0 0.003
4252 63.7000 -51.5500 3.0 0.003
4253 62.5781 -50.4061 3.0 0.003
4254 64.2000 -51.6833 3.0 0.003
4255 64.1978 -51.6792 3.0 0.003
4259 62.0197 -49.6694 3.0 0.003
4260 62.0167 -49.6667 3.0 0.003
4261 61.2333 -48.1000 3.0 0.003
4263 61.1833 -48.4500 3.0 0.003
4264 61.6500 -49.3667 3.0 0.003
4266 60.7636 -48.4544 3.0 0.003
4270 61.1667 -45.4167 3.0 0.003
4271 61.1575 -45.4400 3.0 0.003
4272 60.7156 -46.0433 3.0 0.003
4273 60.7167 -46.0333 3.0 0.003
4274 60.8000 -47.1000 3.0 0.003
4280 60.9167 -46.0586 10.0 0.003
4282 60.4667 -45.5833 3.0 0.003
4283 60.1333 -45.2333 10.0 0.003
4285 59.9911 -45.1461 3.0 0.003
4286 59.9667 -44.0500 3.0 0.003
4301 83.6561 -33.3739 3.0 0.003
4305 82.1500 -29.9167 3.0 0.003
4310 81.6000 -16.6500 3.0 0.003
4312 81.6000 -16.6500 3.0 0.003
4313 80.6494 -13.7119 3.0 0.003
4320 76.7694 -18.6681 3.0 0.003
4330 74.3075 -20.2169 3.0 0.003
4338 72.2500 -23.9000 3.0 0.003
4339 70.4844 -21.9511 3.0 0.003
4340 70.4167 -21.9667 3.0 0.003
4341 70.7500 -22.6500 3.0 0.003
4345 71.1833 -23.6167 3.0 0.003
4350 67.7833 -32.3000 3.0 0.003
4351 67.7833 -32.3000 3.0 0.003
4352 67.7833 -32.3000 3.0 0.003
4360 65.6111 -37.6367 3.0 0.003
4361 65.5667 -37.1333 3.0 0.003
4365 65.5167 -37.1667 3.0 0.003
4368 65.4833 -38.8833 3.0 0.003
4373 64.7819 -40.3017 3.0 0.003
4380 62.5333 -42.1333 3.0 0.003
4381 61.9333 -42.0667 3.0 0.003
4382 61.9364 -42.0678 3.0 0.003
4385 61.5333 -42.2333 3.0 0.003
4390 60.0553 -43.1653 3.0 0.003
4410 71.3167 -26.3167 3.0 0.003
4411 72.3943 -27.2575 1.392 0.00299786799587
4412 72.2277 -26.8168 2.633 0.00297342217527
4414 72.5833 -38.4500 3.0 0.003
4415 72.5833 -37.6333 3.0 0.003
4416 72.5833 -38.4500 3.0 0.003
4204205 65.779 -38.8995 2.537 0.00299802981317
4204212 65.6922 -37.8289 2.446 0.00299913086928
4204219 65.6922 -37.828 2.446 0.00299913086928
4204228 64.1622 -51.3587 1.959 0.00316371233203
4204216 67.0003 -47.0253 2.4 0.00299787963741
4204220 61.243 -46.7328 2.55 0.00299801654182
4204210 75.6247 -35.9748 2.585 0.00299785262905
4204221 61.0998 -46.833 2.941 0.00299798557535
